Order ID,Order Date,Order Month,Order Year,Order weekday,Ship Date,Delivery time,Order Priority,Country Code,Country,Region,Sub-region,Product ID,Categories,Sales Channel,Units Sold,Unit Price,Unit Cost,Total Revenue,Total Cost,Total Profit
113524663,10/29/2010,October,2010,Friday,12/9/2010,41,L,RUS,Russia,Europe,Eastern Europe,8293,Cosmetics,Online,3325,$437.20,$263.33,"$1,453,690.00","$875,572.25","$578,117.75"
114954173,2/3/2010,February,2010,Wednesday,2/11/2010,8,C,MLT,Malta,Europe,Southern Europe,4594,Fruits,Offline,6349,$9.33,$6.92,"$59,236.17","$43,935.08","$15,301.09"
115363156,12/4/2015,December,2015,Friday,1/10/2016,37,H,UKR,Ukraine,Europe,Eastern Europe,8681,Office Supplies,Offline,7376,$651.21,$524.96,"$4,803,324.96","$3,872,104.96","$931,220.00"
117929494,1/24/2015,January,2015,Saturday,3/2/2015,37,H,Unknow,Unknow,Unknow,Unknow,4594,Fruits,Offline,6813,$9.33,$6.92,"$63,565.29","$47,145.96","$16,419.33"
118086564,2/19/2016,February,2016,Friday,3/13/2016,23,M,NOR,Norway,Europe,Northern Europe,8969,Snacks,Online,3293,$152.58,$97.44,"$502,445.94","$320,869.92","$181,576.02"
118659913,8/2/2014,August,2014,Saturday,8/17/2014,15,C,CZE,Czech Republic,Europe,Eastern Europe,2103,Cereal,Online,2960,$205.70,$117.11,"$608,872.00","$346,645.60","$262,226.40"
118859469,6/2/2011,June,2011,Thursday,7/1/2011,29,L,Unknow,Unknow,Unknow,Unknow,8969,Snacks,Offline,2013,$152.58,$97.44,"$307,143.54","$196,146.72","$110,996.82"
119935786,1/14/2015,January,2015,Wednesday,1/27/2015,13,L,ROU,Romania,Europe,Eastern Europe,3127,Personal Care,Offline,519,$81.73,$56.67,"$42,417.87","$29,411.73","$13,006.14"
120419871,5/13/2015,May,2015,Wednesday,6/26/2015,44,H,LTU,Lithuania,Europe,Northern Europe,3127,Personal Care,Online,3771,$81.73,$56.67,"$308,203.83","$213,702.57","$94,501.26"
120977771,3/23/2011,March,2011,Wednesday,5/2/2011,40,M,ARM,Armenia,Asia,Western Asia,4594,Fruits,Online,8866,$9.33,$6.92,"$82,719.78","$61,352.72","$21,367.06"
121380746,11/21/2016,November,2016,Monday,12/18/2016,27,C,MLT,Malta,Europe,Southern Europe,4594,Fruits,Online,8115,$9.33,$6.92,"$75,712.95","$56,155.80","$19,557.15"
121945512,4/8/2017,April,2017,Saturday,4/12/2017,4,C,GBR,United Kingdom,Europe,Northern Europe,1270,Beverages,Online,5242,$47.45,$31.79,"$248,732.90","$166,643.18","$82,089.72"
122144210,4/27/2017,April,2017,Thursday,5/24/2017,27,C,MNE,Montenegro,Europe,Southern Europe,1270,Beverages,Offline,4041,$47.45,$31.79,"$191,745.45","$128,463.39","$63,282.06"
122372519,1/10/2016,January,2016,Sunday,1/13/2016,3,L,PRT,Portugal,Europe,Southern Europe,1270,Beverages,Offline,1603,$47.45,$31.79,"$76,062.35","$50,959.37","$25,102.98"
122967326,3/24/2017,March,2017,Friday,4/25/2017,32,H,BLR,Belarus,Europe,Eastern Europe,1270,Beverages,Online,7619,$47.45,$31.79,"$361,521.55","$242,208.01","$119,313.54"
123086202,1/2/2014,January,2014,Thursday,2/20/2014,49,M,EST,Estonia,Europe,Northern Europe,7331,Baby Food,Offline,2797,$255.28,$159.42,"$714,018.16","$445,897.74","$268,120.42"
123544108,5/13/2010,May,2010,Thursday,6/22/2010,40,M,AUT,Austria,Europe,Western Europe,2103,Cereal,Online,8302,$205.70,$117.11,"$1,707,721.40","$972,247.22","$735,474.18"
123938930,7/24/2012,July,2012,Tuesday,8/2/2012,9,M,BLR,Belarus,Europe,Eastern Europe,1270,Beverages,Online,5138,$47.45,$31.79,"$243,798.10","$163,337.02","$80,461.08"
125339686,7/11/2017,July,2017,Tuesday,7/24/2017,13,L,MKD,Macedonia,Europe,Southern Europe,8969,Snacks,Online,9653,$152.58,$97.44,"$1,472,854.74","$940,588.32","$532,266.42"
125349128,5/18/2012,May,2012,Friday,6/6/2012,19,L,SMR,San Marino,Europe,Southern Europe,2103,Cereal,Offline,2447,$205.70,$117.11,"$503,347.90","$286,568.17","$216,779.73"
126948583,5/24/2017,May,2017,Wednesday,7/9/2017,46,C,Unknow,Unknow,Unknow,Unknow,7331,Baby Food,Online,5762,$255.28,$159.42,"$1,470,923.36","$918,578.04","$552,345.32"
127694451,12/7/2011,December,2011,Wednesday,12/27/2011,20,L,EST,Estonia,Europe,Northern Europe,5988,Vegetables,Offline,6481,$154.06,$90.93,"$998,462.86","$589,317.33","$409,145.53"
127838218,9/20/2013,September,2013,Friday,10/29/2013,39,C,NLD,Netherlands,Europe,Western Europe,4594,Fruits,Offline,9024,$9.33,$6.92,"$84,193.92","$62,446.08","$21,747.84"
128003442,9/9/2010,September,2010,Thursday,10/23/2010,44,L,CHE,Switzerland,Europe,Western Europe,7331,Baby Food,Online,7918,$255.28,$159.42,"$2,021,307.04","$1,262,287.56","$759,019.48"
128686225,1/25/2011,January,2011,Tuesday,3/13/2011,47,M,HUN,Hungary,Europe,Eastern Europe,7331,Baby Food,Online,9968,$255.28,$159.42,"$2,544,631.04","$1,589,098.56","$955,532.48"
128766906,2/13/2011,February,2011,Sunday,3/28/2011,43,C,Unknow,Unknow,Unknow,Unknow,7940,Household,Offline,3844,$668.27,$502.54,"$2,568,829.88","$1,931,763.76","$637,066.12"
129127395,6/16/2013,June,2013,Sunday,6/20/2013,4,L,LVA,Latvia,Europe,Northern Europe,8681,Office Supplies,Online,520,$651.21,$524.96,"$338,629.20","$272,979.20","$65,650.00"
129169023,6/8/2012,June,2012,Friday,7/18/2012,40,M,Unknow,Unknow,Unknow,Unknow,1270,Beverages,Offline,2839,$47.45,$31.79,"$134,710.55","$90,251.81","$44,458.74"
129875409,4/19/2011,April,2011,Tuesday,4/26/2011,7,L,LTU,Lithuania,Europe,Northern Europe,3127,Personal Care,Offline,1875,$81.73,$56.67,"$153,243.75","$106,256.25","$46,987.50"
129902875,3/21/2014,March,2014,Friday,4/24/2014,34,C,BGR,Bulgaria,Europe,Eastern Europe,7940,Household,Online,2,$668.27,$502.54,"$1,336.54","$1,005.08",$331.46
130356919,9/18/2013,September,2013,Wednesday,10/1/2013,13,H,CHE,Switzerland,Europe,Western Europe,5988,Vegetables,Online,4364,$154.06,$90.93,"$672,317.84","$396,818.52","$275,499.32"
130754315,10/27/2013,October,2013,Sunday,11/2/2013,6,H,FRA,France,Europe,Western Europe,8681,Office Supplies,Online,1962,$651.21,$524.96,"$1,277,674.02","$1,029,971.52","$247,702.50"
131585586,3/13/2017,March,2017,Monday,4/13/2017,31,C,FRA,France,Europe,Western Europe,3127,Personal Care,Offline,7954,$81.73,$56.67,"$650,080.42","$450,753.18","$199,327.24"
132069671,7/9/2017,July,2017,Sunday,7/20/2017,11,M,AUT,Austria,Europe,Western Europe,3127,Personal Care,Online,1205,$81.73,$56.67,"$98,484.65","$68,287.35","$30,197.30"
132603538,9/20/2012,September,2012,Thursday,11/6/2012,47,M,HUN,Hungary,Europe,Eastern Europe,8293,Cosmetics,Online,9188,$437.20,$263.33,"$4,016,993.60","$2,419,476.04","$1,597,517.56"
133276450,1/27/2016,January,2016,Wednesday,3/15/2016,48,H,Unknow,Unknow,Unknow,Unknow,3127,Personal Care,Online,8318,$81.73,$56.67,"$679,830.14","$471,381.06","$208,449.08"
134121024,2/28/2011,February,2011,Monday,4/8/2011,39,L,EST,Estonia,Europe,Northern Europe,5988,Vegetables,Online,8246,$154.06,$90.93,"$1,270,378.76","$749,808.78","$520,569.98"
134790503,4/2/2012,April,2012,Monday,4/26/2012,24,M,ITA,Italy,Europe,Southern Europe,2455,Clothes,Online,6360,$109.28,$35.84,"$695,020.80","$227,942.40","$467,078.40"
136624276,2/20/2016,February,2016,Saturday,3/8/2016,17,L,LVA,Latvia,Europe,Northern Europe,1270,Beverages,Offline,9014,$47.45,$31.79,"$427,714.30","$286,555.06","$141,159.24"
138025033,7/13/2013,July,2013,Saturday,8/3/2013,21,L,GBR,United Kingdom,Europe,Northern Europe,8969,Snacks,Online,3529,$152.58,$97.44,"$538,454.82","$343,865.76","$194,589.06"
138182103,8/9/2014,August,2014,Saturday,8/16/2014,7,C,NLD,Netherlands,Europe,Western Europe,8681,Office Supplies,Online,10,$651.21,$524.96,"$6,512.10","$5,249.60","$1,262.50"
138820683,7/9/2010,July,2010,Friday,7/9/2010,0,L,RUS,Russia,Europe,Eastern Europe,2455,Clothes,Offline,8980,$109.28,$35.84,"$981,334.40","$321,843.20","$659,491.20"
139201343,8/27/2016,August,2016,Saturday,9/6/2016,10,H,IRL,Ireland,Europe,Northern Europe,8293,Cosmetics,Offline,1625,$437.20,$263.33,"$710,450.00","$427,911.25","$282,538.75"
139949357,7/1/2014,July,2014,Tuesday,7/14/2014,13,H,Unknow,Unknow,Unknow,Unknow,5988,Vegetables,Online,2980,$154.06,$90.93,"$459,098.80","$270,971.40","$188,127.40"
140461766,7/8/2014,July,2014,Tuesday,7/20/2014,12,C,UKR,Ukraine,Europe,Eastern Europe,8293,Cosmetics,Online,4613,$437.20,$263.33,"$2,016,803.60","$1,214,741.29","$802,062.31"
140499961,3/29/2011,March,2011,Tuesday,4/30/2011,32,L,LVA,Latvia,Europe,Northern Europe,3127,Personal Care,Online,5915,$81.73,$56.67,"$483,432.95","$335,203.05","$148,229.90"
141764247,7/15/2013,July,2013,Monday,8/29/2013,45,H,AND,Andorra,Europe,Southern Europe,7331,Baby Food,Offline,46,$255.28,$159.42,"$11,742.88","$7,333.32","$4,409.56"
141846215,7/18/2012,July,2012,Wednesday,8/16/2012,29,H,GEO,Georgia,Asia,Western Asia,2455,Clothes,Online,4302,$109.28,$35.84,"$470,122.56","$154,183.68","$315,938.88"
141875827,3/13/2011,March,2011,Sunday,4/16/2011,34,C,POL,Poland,Europe,Eastern Europe,7940,Household,Online,3065,$668.27,$502.54,"$2,048,247.55","$1,540,285.10","$507,962.45"
142375361,2/8/2014,February,2014,Saturday,2/19/2014,11,L,LIE,Liechtenstein,Europe,Western Europe,4594,Fruits,Online,888,$9.33,$6.92,"$8,285.04","$6,144.96","$2,140.08"
142987763,8/18/2013,August,2013,Sunday,9/1/2013,14,L,NLD,Netherlands,Europe,Western Europe,7940,Household,Offline,2112,$668.27,$502.54,"$1,411,386.24","$1,061,364.48","$350,021.76"
143414771,5/21/2012,May,2012,Monday,6/3/2012,13,H,IRL,Ireland,Europe,Northern Europe,7940,Household,Offline,8473,$668.27,$502.54,"$5,662,251.71","$4,258,021.42","$1,404,230.29"
144282948,7/13/2013,July,2013,Saturday,8/1/2013,19,H,FIN,Finland,Europe,Northern Europe,2103,Cereal,Online,5386,$205.70,$117.11,"$1,107,900.20","$630,754.46","$477,145.74"
144743001,3/12/2013,March,2013,Tuesday,4/21/2013,40,M,SVN,Slovenia,Europe,Southern Europe,7331,Baby Food,Offline,1525,$255.28,$159.42,"$389,302.00","$243,115.50","$146,186.50"
144978606,1/6/2011,January,2011,Thursday,2/19/2011,44,C,IRL,Ireland,Europe,Northern Europe,8681,Office Supplies,Online,1246,$651.21,$524.96,"$811,407.66","$654,100.16","$157,307.50"
146349751,5/1/2017,May,2017,Monday,6/13/2017,43,M,LTU,Lithuania,Europe,Northern Europe,5988,Vegetables,Online,6999,$154.06,$90.93,"$1,078,265.94","$636,419.07","$441,846.87"
146545875,11/27/2011,November,2011,Sunday,1/7/2012,41,M,SVK,Slovakia,Europe,Eastern Europe,8293,Cosmetics,Offline,5036,$437.20,$263.33,"$2,201,739.20","$1,326,129.88","$875,609.32"
147826898,9/29/2015,September,2015,Tuesday,11/5/2015,37,M,BEL,Belgium,Europe,Western Europe,8293,Cosmetics,Online,4119,$437.20,$263.33,"$1,800,826.80","$1,084,656.27","$716,170.53"
148894631,9/19/2013,September,2013,Thursday,9/25/2013,6,H,POL,Poland,Europe,Eastern Europe,8681,Office Supplies,Online,85,$651.21,$524.96,"$55,352.85","$44,621.60","$10,731.25"
149274003,4/29/2013,April,2013,Monday,5/29/2013,30,C,NOR,Norway,Europe,Northern Europe,7940,Household,Offline,2350,$668.27,$502.54,"$1,570,434.50","$1,180,969.00","$389,465.50"
150293242,5/19/2015,May,2015,Tuesday,6/21/2015,33,H,Unknow,Unknow,Unknow,Unknow,8681,Office Supplies,Offline,3965,$651.21,$524.96,"$2,582,047.65","$2,081,466.40","$500,581.25"
151312482,6/6/2017,June,2017,Tuesday,7/12/2017,36,H,CZE,Czech Republic,Europe,Eastern Europe,8293,Cosmetics,Online,5581,$437.20,$263.33,"$2,440,013.20","$1,469,644.73","$970,368.47"
152191388,5/18/2012,May,2012,Friday,6/22/2012,35,L,ALB,Albania,Europe,Southern Europe,7331,Baby Food,Offline,5669,$255.28,$159.42,"$1,447,182.32","$903,751.98","$543,430.34"
152411115,1/4/2013,January,2013,Friday,2/21/2013,48,H,SWE,Sweden,Europe,Northern Europe,8875,Meat,Online,691,$421.89,$364.69,"$291,525.99","$252,000.79","$39,525.20"
152505099,5/7/2012,May,2012,Monday,5/19/2012,12,M,SMR,San Marino,Europe,Southern Europe,2455,Clothes,Offline,8503,$109.28,$35.84,"$929,207.84","$304,747.52","$624,460.32"
152746713,5/2/2010,May,2010,Sunday,5/8/2010,6,C,BIH,Bosnia and Herzegovina,Europe,Southern Europe,8681,Office Supplies,Offline,2,$651.21,$524.96,"$1,302.42","$1,049.92",$252.50
153974950,8/22/2011,August,2011,Monday,9/20/2011,29,L,SWE,Sweden,Europe,Northern Europe,4594,Fruits,Offline,3464,$9.33,$6.92,"$32,319.12","$23,970.88","$8,348.24"
155086886,1/28/2014,January,2014,Tuesday,2/5/2014,8,M,SVN,Slovenia,Europe,Southern Europe,8293,Cosmetics,Offline,2511,$437.20,$263.33,"$1,097,809.20","$661,221.63","$436,587.57"
155914723,3/12/2015,March,2015,Thursday,3/29/2015,17,H,IRL,Ireland,Europe,Northern Europe,4594,Fruits,Offline,7486,$9.33,$6.92,"$69,844.38","$51,803.12","$18,041.26"
156158483,6/26/2016,June,2016,Sunday,8/5/2016,40,C,LTU,Lithuania,Europe,Northern Europe,2455,Clothes,Offline,9620,$109.28,$35.84,"$1,051,273.60","$344,780.80","$706,492.80"
158479773,5/19/2015,May,2015,Tuesday,6/18/2015,30,L,RUS,Russia,Europe,Eastern Europe,7331,Baby Food,Offline,6542,$255.28,$159.42,"$1,670,041.76","$1,042,925.64","$627,116.12"
158673751,3/22/2014,March,2014,Saturday,5/10/2014,49,H,DEU,Germany,Europe,Western Europe,8969,Snacks,Online,3944,$152.58,$97.44,"$601,775.52","$384,303.36","$217,472.16"
159232509,6/8/2014,June,2014,Sunday,7/14/2014,36,H,CHE,Switzerland,Europe,Western Europe,4594,Fruits,Online,9293,$9.33,$6.92,"$86,703.69","$64,307.56","$22,396.13"
159805858,11/19/2012,November,2012,Monday,12/17/2012,28,M,Unknow,Unknow,Unknow,Unknow,8875,Meat,Offline,8959,$421.89,$364.69,"$3,779,712.51","$3,267,257.71","$512,454.80"
160578763,9/27/2015,September,2015,Sunday,10/30/2015,33,L,ROU,Romania,Europe,Eastern Europe,8681,Office Supplies,Online,7679,$651.21,$524.96,"$5,000,641.59","$4,031,167.84","$969,473.75"
160751283,10/29/2011,October,2011,Saturday,11/13/2011,15,C,LVA,Latvia,Europe,Northern Europe,3127,Personal Care,Offline,8732,$81.73,$56.67,"$713,666.36","$494,842.44","$218,823.92"
161399304,3/1/2010,March,2010,Monday,3/15/2010,14,L,SVK,Slovakia,Europe,Eastern Europe,8293,Cosmetics,online,496,$437.20,$263.33,"$216,851.20","$130,611.68","$86,239.52"
161607444,8/22/2012,August,2012,Wednesday,10/3/2012,42,L,ROU,Romania,Europe,Eastern Europe,8875,Meat,Offline,2089,$421.89,$364.69,"$881,328.21","$761,837.41","$119,490.80"
161812150,11/9/2012,November,2012,Friday,11/12/2012,3,C,DNK,Denmark,Europe,Northern Europe,2455,Clothes,Online,2666,$109.28,$35.84,"$291,340.48","$95,549.44","$195,791.04"
162791907,8/30/2011,August,2011,Tuesday,10/19/2011,50,M,RUS,Russia,Europe,Eastern Europe,1270,Beverages,Offline,2598,$47.45,$31.79,"$123,275.10","$82,590.42","$40,684.68"
163587558,3/22/2016,March,2016,Tuesday,4/19/2016,28,M,MKD,Macedonia,Europe,Southern Europe,8969,Snacks,Offline,8048,$152.58,$97.44,"$1,227,963.84","$784,197.12","$443,766.72"
163744628,4/17/2017,April,2017,Monday,5/1/2017,14,L,FIN,Finland,Europe,Northern Europe,8681,Office Supplies,Offline,4529,$651.21,$524.96,"$2,949,330.09","$2,377,543.84","$571,786.25"
164259612,3/22/2015,March,2015,Sunday,4/29/2015,38,M,BEL,Belgium,Europe,Western Europe,8875,Meat,Offline,6924,$421.89,$364.69,"$2,921,166.36","$2,525,113.56","$396,052.80"
166810500,10/10/2011,October,2011,Monday,11/21/2011,42,M,BIH,Bosnia and Herzegovina,Europe,Southern Europe,2455,Clothes,Online,1789,$109.28,$35.84,"$195,501.92","$64,117.76","$131,384.16"
168319404,2/20/2012,February,2012,Monday,3/10/2012,19,H,SVK,Slovakia,Europe,Eastern Europe,8681,Office Supplies,Online,8307,$651.21,$524.96,"$5,409,601.47","$4,360,842.72","$1,048,758.75"
168487203,8/3/2014,August,2014,Sunday,9/21/2014,49,H,Unknow,Unknow,Unknow,Unknow,8681,Office Supplies,Offline,7962,$651.21,$524.96,"$5,184,934.02","$4,179,731.52","$1,005,202.50"
168960559,7/14/2013,July,2013,Sunday,8/19/2013,36,H,GEO,Georgia,Asia,Western Asia,7331,Baby Food,Online,8039,$255.28,$159.42,"$2,052,195.92","$1,281,577.38","$770,618.54"
168979442,10/22/2010,October,2010,Friday,12/10/2010,49,H,SMR,San Marino,Europe,Southern Europe,8875,Meat,Online,3627,$421.89,$364.69,"$1,530,195.03","$1,322,730.63","$207,464.40"
169378983,3/21/2014,March,2014,Friday,4/10/2014,20,L,CHE,Switzerland,Europe,Western Europe,8875,Meat,Online,1860,$421.89,$364.69,"$784,715.40","$678,323.40","$106,392.00"
169799983,10/22/2012,October,2012,Monday,11/20/2012,29,H,SVN,Slovenia,Europe,Southern Europe,4594,Fruits,Online,6443,$9.33,$6.92,"$60,113.19","$44,585.56","$15,527.63"
173122918,6/8/2015,June,2015,Monday,7/25/2015,47,M,BLR,Belarus,Europe,Eastern Europe,2455,Clothes,Offline,9773,$109.28,$35.84,"$1,067,993.44","$350,264.32","$717,729.12"
174218118,4/30/2016,April,2016,Saturday,6/13/2016,44,M,DEU,Germany,Europe,Western Europe,2103,Cereal,Offline,3867,$205.70,$117.11,"$795,441.90","$452,864.37","$342,577.53"
174614226,6/24/2017,June,2017,Saturday,8/13/2017,50,C,AND,Andorra,Europe,Southern Europe,7331,Baby Food,Offline,1085,$255.28,$159.42,"$276,978.80","$172,970.70","$104,008.10"
174935233,7/26/2016,July,2016,Tuesday,7/29/2016,3,M,FRA,France,Europe,Western Europe,8293,Cosmetics,Online,6078,$437.20,$263.33,"$2,657,301.60","$1,600,519.74","$1,056,781.86"
175723588,6/9/2014,June,2014,Monday,6/14/2014,5,L,MCO,Monaco,Europe,Western Europe,7940,Household,Online,9370,$668.27,$502.54,"$6,261,689.90","$4,708,799.80","$1,552,890.10"
176050603,9/8/2013,September,2013,Sunday,10/28/2013,50,C,POL,Poland,Europe,Eastern Europe,2103,Cereal,Online,6140,$205.70,$117.11,"$1,262,998.00","$719,055.40","$543,942.60"
176722657,9/8/2012,September,2012,Saturday,9/16/2012,8,H,EST,Estonia,Europe,Northern Europe,2455,Clothes,Online,5016,$109.28,$35.84,"$548,148.48","$179,773.44","$368,375.04"
177147090,7/15/2013,July,2013,Monday,8/17/2013,33,L,MCO,Monaco,Europe,Western Europe,8875,Meat,Offline,615,$421.89,$364.69,"$259,462.35","$224,284.35","$35,178.00"
178604066,9/20/2015,September,2015,Sunday,10/18/2015,28,C,AUT,Austria,Europe,Western Europe,7940,Household,Online,1767,$668.27,$502.54,"$1,180,833.09","$887,988.18","$292,844.91"
179819428,5/5/2012,May,2012,Saturday,6/2/2012,28,C,BGR,Bulgaria,Europe,Eastern Europe,8293,Cosmetics,Online,1420,$437.20,$263.33,"$620,824.00","$373,928.60","$246,895.40"
180358016,4/30/2016,April,2016,Saturday,5/16/2016,16,M,MLT,Malta,Europe,Southern Europe,1270,Beverages,Online,800,$47.45,$31.79,"$37,960.00","$25,432.00","$12,528.00"
180479466,1/5/2011,January,2011,Wednesday,1/12/2011,7,C,BLR,Belarus,Europe,Eastern Europe,5988,Vegetables,Online,6740,$154.06,$90.93,"$1,038,364.40","$612,868.20","$425,496.20"
181260526,5/3/2017,May,2017,Wednesday,6/3/2017,31,M,UKR,Ukraine,Europe,Eastern Europe,8681,Office Supplies,Offline,7872,$651.21,$524.96,"$5,126,325.12","$4,132,485.12","$993,840.00"
182078921,1/12/2016,January,2016,Tuesday,2/14/2016,33,H,FIN,Finland,Europe,Northern Europe,4594,Fruits,Offline,54,$9.33,$6.92,$503.82,$373.68,$130.14
182228696,5/31/2010,May,2010,Monday,7/12/2010,42,L,LVA,Latvia,Europe,Northern Europe,8681,Office Supplies,Online,4375,$651.21,$524.96,"$2,849,043.75","$2,296,700.00","$552,343.75"
183778369,12/24/2012,December,2012,Monday,1/7/2013,14,L,BIH,Bosnia and Herzegovina,Europe,Southern Europe,8969,Snacks,Online,2958,$152.58,$97.44,"$451,331.64","$288,227.52","$163,104.12"
183910119,6/9/2014,June,2014,Monday,6/11/2014,2,C,UKR,Ukraine,Europe,Eastern Europe,8293,Cosmetics,Online,1946,$437.20,$263.33,"$850,791.20","$512,440.18","$338,351.02"
184120833,10/27/2014,October,2014,Monday,10/31/2014,4,H,DNK,Denmark,Europe,Northern Europe,2455,Clothes,Offline,4301,$109.28,$35.84,"$470,013.28","$154,147.84","$315,865.44"
184412229,4/4/2015,April,2015,Saturday,4/7/2015,3,C,BIH,Bosnia and Herzegovina,Europe,Southern Europe,7331,Baby Food,Online,531,$255.28,$159.42,"$135,553.68","$84,652.02","$50,901.66"
184708344,11/27/2016,November,2016,Sunday,12/2/2016,5,H,BIH,Bosnia and Herzegovina,Europe,Southern Europe,5988,Vegetables,Online,8159,$154.06,$90.93,"$1,256,975.54","$741,897.87","$515,077.67"
184976994,8/21/2015,August,2015,Friday,9/21/2015,31,C,LIE,Liechtenstein,Europe,Western Europe,7940,Household,Online,7658,$668.27,$502.54,"$5,117,611.66","$3,848,451.32","$1,269,160.34"
185947310,1/6/2012,January,2012,Friday,1/27/2012,21,L,SMR,San Marino,Europe,Southern Europe,3127,Personal Care,online,4796,$81.73,$56.67,"$391,977.08","$271,789.32","$120,187.76"
